Date;Collectivité;Instance;Numero delib;Titre délib;Rapporteur;ID élu;Elu;FONCTION;Theme déport;DELIB_URL;Observations
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0194;Famille – Actions en faveur des personnes âgées – Provision actions personnes âgées – Première attribution de subventions 2022;NADESAN Yannick;17107-3728;TRAVERS David;3è adjoint délégué à la Solidarité;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/9c3bad9034355d5797c4bd67418d2a404935260f447c1d4bde0379cf9b86c8fc.pdf;Motif personnel
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0195;Famille – Actions en faveur des personnes âgées – Observatoire et Pôle d’Animation des Retraités rennais (OPAR) – Convention – Renouvellement;TRAVERS David;7285-3728;NADESAN Yannick;5è adjoint délégué à la Santé;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/f6f664636f0a7ed867afb082aac6e20a0ccc9b12591b415b5f0573e74ae8e0a5.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0204;Aménagement et services urbains, environnement – Atelier Bois – 4 allée Joseph Gemain – Acquisition;HERVE Marc;9728-3728;CONDOLF-FEREC Muriel;Conseillère municipale déléguée à l'Enfance, la parentalité et la réussite éducative;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/39582142148c506b83fe44bf145122093cb71cfe97bbde9fe58b3d6dd533646f.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0212;Aménagement et services urbains, environnement – ZAC Maurepas Gayeulles – Angle Boulevard de Vitré, boulevard Raymond Poincaré - Cession à la SPLA Territoires Publics;GUILLOTIN Daniel;17122-3728;HAKNI-ROBIN Béatrice;18è adjointe déléguée au Quartier Le Blosne;Actes immobiliers;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/a8bfd8531b6851672a0ea9059714fcdc54df28bdbe55bbddb3cf9439ed2e9938.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0214;Aménagement et services urbains, environnement – ZAC Maurepas Gros Chêne – Boulevard Emmanuel Mounier – Acquisition et cession de terrains à Archipel Habitat;HERVE Marc;17231-3728;JEANVRAIN Mathieu;Conseiller municipal délégué au Logement;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/0f1c0375f8a9ccac6246c3b7873c329a1e00a12c1d1fc700bb9b7be3ce3d93f3.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0217;Aménagement et services urbains, environnement - Politique de la Ville – Contrat de Ville - Provision pour diverses actions – Deuxième attribution de subventions 2022;FOUILLERE Christophe;17124-3728;PAPILLION Cécile;12è adjointe déléguée à l'Insertion et à l'emploi, déléguée au Quartier Jeanne d'Arc, Longs-Champs, Beaulieu;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/92e693c8abf2cd1dbfc106d922d357d58dd9f7fc6b74ad3728d4e105c49be09b.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0217;Aménagement et services urbains, environnement - Politique de la Ville – Contrat de Ville - Provision pour diverses actions – Deuxième attribution de subventions 2022;FOUILLERE Christophe;17196-3728;CAROFF-URFER Sandrine;Conseillère municipale;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/92e693c8abf2cd1dbfc106d922d357d58dd9f7fc6b74ad3728d4e105c49be09b.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0217;Aménagement et services urbains, environnement - Politique de la Ville – Contrat de Ville - Provision pour diverses actions – Deuxième attribution de subventions 2022;FOUILLERE Christophe;11097-3728;ZAMORD Priscilla;Conseillère municipale;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/92e693c8abf2cd1dbfc106d922d357d58dd9f7fc6b74ad3728d4e105c49be09b.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0220;Aménagement et services urbains, environnement – Provision actions quartiers – Deuxième attribution de subventions 2022;BRIERO Lenaïck;13950-3728;BOUCHONNET Iris;16è adjointe déléguée à la Jeunesse, à la vie étudiante et à la politique des temps;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/959f0a2085ba58e6034ad02bee95e6d17481c802f19d8e43e56478ae2a106a83.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0220;Aménagement et services urbains, environnement – Provision actions quartiers – Deuxième attribution de subventions 2022;BRIERO Lenaïck;17230-3728;STEPHAN Arnaud;Conseiller municipal délégué à la Petite enfance;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/959f0a2085ba58e6034ad02bee95e6d17481c802f19d8e43e56478ae2a106a83.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
