Date;Collectivité;Instance;Numero delib;Titre délib;Rapporteur;ID élu;Elu;FONCTION;Theme déport;DELIB_URL;Observations
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0240;Enseignement, formation – Activités éducatives périscolaires – Provision associations ateliers périscolaires – Deuxième attribution de subventions 2023 – Versement du solde année scolaire 2022/2023;MME ROUGIER;9727-3728;PHALIPPOU Catherine;Conseillère municipale déléguée à l'Éducation artistique et à la médiation culturelle;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0245;"Culture –Action culturelle – Provision ""résidences artistiques"" – Première attribution de subventions 2023";M SEMERIL;9762-3728;CAREIL Benoît;11è adjoint délégué à la Culture;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0240;Enseignement, formation – Activités éducatives périscolaires – Provision associations ateliers périscolaires – Deuxième attribution de subventions 2023 – Versement du solde année scolaire 2022/2023;MME ROUGIER;17197-3728;CASACUBERTA PALMADA Montserrat;Conseillère municipale déléguée aux politiques linguistiques;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0245;"Culture –Action culturelle – Provision ""résidences artistiques"" – Première attribution de subventions 2023";M SEMERIL;17223-3728;GANDON Carole;Conseillère municipale;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0241;Enseignement, formation – Année scolaire 2023/2024 – Actions de sensibilisation – Provision fonds projets écoles – Première attribution de subventions 2023;MME ROUGIER;17234-3728;LEMEILLEUR Claire;Conseillère municipale déléguée au Patrimoine;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0256;Interventions sociales et santé - Actions sociales et accompagnement des publics – Provision pour diverses actions sociales – Troisième attribution de subventions 2023 - Subventions exceptionnelles – Associations d'aide alimentaire;M TRAVERS;17231-3728;JEANVRAIN Mathieu;Conseiller municipal délégué au Logement;Versement de subvention à un organisme privé ou public;;Motif personnel
2023-01-23;Ville de Rennes;Conseil Municipal;2023_0009;Culture - Cinémas et autres salles de spectacle – Salles Le Liberté, l'Étage et le MusikHALL - Contrat de concession de service public avec Citédia Services – Deuxième avenant - Modification des tarifs;LE BOUGEANT Didier;9762-3728;CAREIL Benoît;11è adjoint délégué à la Culture;concession de service public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0244;"Culture - Action culturelle - Provision ""Éducation artistique et culturelle"" – Deuxième attribution de subventions 2023";MME CASACUBERTA PALMADA;9762-3728;CAREIL Benoît;11è adjoint délégué à la Culture;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0264;Aménagement et services urbains, environnement – Bâtiment Pasteur – Mandat de maîtrise d'ouvrage avec la société Territoires Publics – Évolution de l'enveloppe globale de l'opération – Approbation;M SEMERIL;9773-3728;FAUCHEUX Valérie;14è adjointe déléguée aux Mobilités et aux déplacements;Relations avec les entreprises publiques locales;;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-01-23;Ville de Rennes;Conseil Municipal;2023_0009;Culture - Cinémas et autres salles de spectacle – Salles Le Liberté, l'Étage et le MusikHALL - Contrat de concession de service public avec Citédia Services – Deuxième avenant - Modification des tarifs;LE BOUGEANT Didier;9760-3728;LAHAIS Tristan;Conseiller municipal;concession de service public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0244;"Culture - Action culturelle - Provision ""Éducation artistique et culturelle"" – Deuxième attribution de subventions 2023";MME CASACUBERTA PALMADA;17230-3728;STEPHAN Arnaud;Conseiller municipal délégué à la Petite enfance;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0275;Aménagement et services urbains, environnement - ZAC Madeleine – Rue de Nantes, rue Jean Jouvenet – Cession à Archipel Habitat;M HERVE;17194-3728;BROSSARD Ludovic;Conseiller municipal délégué à l'Agriculture urbaine et à l'alimentation durable, délégué au Quartier Bellangerais Saint-Martin;Acte immobilier (cession);;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-01-23;Ville de Rennes;Conseil Municipal;2023_0020;Aménagement et services urbains, environnement – 85 rue de Châteaugiron - Cession de terrain à Réalités.;HERVE Marc;17231-3728;JEANVRAIN Mathieu;Conseiller municipal délégué au Logement;Cession immobilière;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0244;"Culture - Action culturelle - Provision ""Éducation artistique et culturelle"" – Deuxième attribution de subventions 2023";MME CASACUBERTA PALMADA;17228-3728;TONON Sélène;Conseillère municipale déléguée aux Musées, à la lecture publique et à la culture ludique;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-09-18;Ville de Rennes;Conseil Municipal;2023_0278;"Aménagement et services urbains, environnement - ZAC Maurepas Gros Chêne – Travaux primaires de ZAC – convention de financement Rennes Métropole / Société Publique Locale d'Aménagement ""Territoires Publics"".";M HERVE => Mme DENIAUD;9773-3728;FAUCHEUX Valérie;14è adjointe déléguée aux Mobilités et aux déplacements;Relations avec les entreprises publiques locales;;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-01-23;Ville de Rennes;Conseil Municipal;2023_0021;Aménagement et services urbains, environnement - ZAC du Haut Sancé – Lot D2 – Cession à Archipel Habitat;HERVE Marc;17231-3728;JEANVRAIN Mathieu;Conseiller municipal délégué au Logement;Cession immobilière;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
